symbol,score,fundamentals,confidence,details,strategy,screened_at
META,100,"{'dividend_yield': 32.0, 'market_cap': 1645173669888, 'pe_ratio': 28.906555, 'sector': 'Communication Services', 'beta': 1.273, 'roe': 0.15931918558712113, 'roa': 0.1314337222655913, 'debt_ratio': 1.1710221252691433, 'pb_ratio': 3.359436957220211, 'revenue_growth': 0.10848920144737643, 'net_income_growth': 0.160173170892574}",1.0,"{'roe_raw': 0.15931918558712113, 'roe_normalized': 1.062127903914141, 'roe_weighted': 1.3807662750883833, 'roa_raw': 0.1314337222655913, 'roa_normalized': 1.6429215283198912, 'roa_weighted': 1.9715058339838694, 'debt_ratio_raw': 1.1710221252691433, 'debt_ratio_normalized': 1.463777656586429, 'debt_ratio_weighted': -2.1956664848796437, 'revenue_growth_raw': 0.10848920144737643, 'revenue_growth_normalized': 1.0848920144737644, 'revenue_growth_weighted': 1.51884882026327, 'net_income_growth_raw': 0.160173170892574, 'net_income_growth_normalized': 1.3347764241047833, 'net_income_growth_weighted': 2.002164636157175, 'dividend_yield_raw': 32.0, 'dividend_yield_normalized': 1280.0, 'dividend_yield_weighted': 640.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461636
CVX,100,"{'dividend_yield': 454.0, 'market_cap': 303674032128, 'pe_ratio': 21.198313, 'sector': 'Energy', 'beta': 0.673, 'roe': 0.2016928982691914, 'roa': 0.0902810340979268, 'debt_ratio': 0.7705439247725974, 'pb_ratio': 2.3688441441150787, 'revenue_growth': 0.13957276541700492, 'net_income_growth': 0.20544207862655284}",1.0,"{'roe_raw': 0.2016928982691914, 'roe_normalized': 1.3446193217946094, 'roe_weighted': 1.7480051183329923, 'roa_raw': 0.0902810340979268, 'roa_normalized': 1.128512926224085, 'roa_weighted': 1.3542155114689018, 'debt_ratio_raw': 0.7705439247725974, 'debt_ratio_normalized': 0.9631799059657467, 'debt_ratio_weighted': -1.44476985894862, 'revenue_growth_raw': 0.13957276541700492, 'revenue_growth_normalized': 1.3957276541700492, 'revenue_growth_weighted': 1.9540187158380686, 'net_income_growth_raw': 0.20544207862655284, 'net_income_growth_normalized': 1.7120173218879404, 'net_income_growth_weighted': 2.5680259828319105, 'dividend_yield_raw': 454.0, 'dividend_yield_normalized': 18160.0, 'dividend_yield_weighted': 9080.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461675
PFE,100,"{'dividend_yield': 667.0, 'market_cap': 146691260416, 'pe_ratio': 14.999999, 'sector': 'Healthcare', 'beta': 0.42, 'roe': 0.17888015693876522, 'roa': 0.1489558376046638, 'debt_ratio': 0.7343667652977477, 'pb_ratio': 3.8279787090623705, 'revenue_growth': 0.12361472328612717, 'net_income_growth': 0.10823722856845615}",1.0,"{'roe_raw': 0.17888015693876522, 'roe_normalized': 1.1925343795917682, 'roe_weighted': 1.5502946934692987, 'roa_raw': 0.1489558376046638, 'roa_normalized': 1.8619479700582975, 'roa_weighted': 2.234337564069957, 'debt_ratio_raw': 0.7343667652977477, 'debt_ratio_normalized': 0.9179584566221846, 'debt_ratio_weighted': -1.3769376849332768, 'revenue_growth_raw': 0.12361472328612717, 'revenue_growth_normalized': 1.2361472328612717, 'revenue_growth_weighted': 1.7306061260057803, 'net_income_growth_raw': 0.10823722856845615, 'net_income_growth_normalized': 0.9019769047371347, 'net_income_growth_weighted': 1.352965357105702, 'dividend_yield_raw': 667.0, 'dividend_yield_normalized': 26680.0, 'dividend_yield_weighted': 13340.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461682
CSCO,100,"{'dividend_yield': 206.99999999999997, 'market_cap': 313203261440, 'pe_ratio': 30.606176, 'sector': 'Technology', 'beta': 0.864, 'roe': 0.20043949438720832, 'roa': 0.08250833485516772, 'debt_ratio': 1.0073013986976453, 'pb_ratio': 3.5515602853275468, 'revenue_growth': 0.23715832895564426, 'net_income_growth': 0.27428918698713045}",1.0,"{'roe_raw': 0.20043949438720832, 'roe_normalized': 1.3362632959147223, 'roe_weighted': 1.737142284689139, 'roa_raw': 0.08250833485516772, 'roa_normalized': 1.0313541856895965, 'roa_weighted': 1.2376250228275156, 'debt_ratio_raw': 1.0073013986976453, 'debt_ratio_normalized': 1.2591267483720565, 'debt_ratio_weighted': -1.8886901225580848, 'revenue_growth_raw': 0.23715832895564426, 'revenue_growth_normalized': 2.3715832895564426, 'revenue_growth_weighted': 3.3202166053790196, 'net_income_growth_raw': 0.27428918698713045, 'net_income_growth_normalized': 2.285743224892754, 'net_income_growth_weighted': 3.428614837339131, 'dividend_yield_raw': 206.99999999999997, 'dividend_yield_normalized': 8279.999999999998, 'dividend_yield_weighted': 4139.999999999999, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461691
TXN,100,"{'dividend_yield': 313.0, 'market_cap': 165162942464, 'pe_ratio': 33.091076, 'sector': 'Technology', 'beta': 0.989, 'roe': 0.21811255797858234, 'roa': 0.13127766829511295, 'debt_ratio': 1.0160308230265722, 'pb_ratio': 4.479138482004683, 'revenue_growth': 0.09911203334127056, 'net_income_growth': 0.13392453786954436}",1.0,"{'roe_raw': 0.21811255797858234, 'roe_normalized': 1.4540837198572156, 'roe_weighted': 1.8903088358143805, 'roa_raw': 0.13127766829511295, 'roa_normalized': 1.6409708536889118, 'roa_weighted': 1.969165024426694, 'debt_ratio_raw': 1.0160308230265722, 'debt_ratio_normalized': 1.2700385287832152, 'debt_ratio_weighted': -1.905057793174823, 'revenue_growth_raw': 0.09911203334127056, 'revenue_growth_normalized': 0.9911203334127056, 'revenue_growth_weighted': 1.3875684667777877, 'net_income_growth_raw': 0.13392453786954436, 'net_income_growth_normalized': 1.1160378155795363, 'net_income_growth_weighted': 1.6740567233693044, 'dividend_yield_raw': 313.0, 'dividend_yield_normalized': 12520.0, 'dividend_yield_weighted': 6260.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461699
UNH,100,"{'dividend_yield': 263.0, 'market_cap': 305023025152, 'pe_ratio': 17.54716, 'sector': 'Healthcare', 'beta': 0.432, 'roe': 0.23664832485068205, 'roa': 0.17469087410556114, 'debt_ratio': 0.5962722873255124, 'pb_ratio': 3.84602603726109, 'revenue_growth': 0.08639262686681093, 'net_income_growth': 0.12045177194456706}",1.0,"{'roe_raw': 0.23664832485068205, 'roe_normalized': 1.577655499004547, 'roe_weighted': 2.0509521487059112, 'roa_raw': 0.17469087410556114, 'roa_normalized': 2.183635926319514, 'roa_weighted': 2.620363111583417, 'debt_ratio_raw': 0.5962722873255124, 'debt_ratio_normalized': 0.7453403591568905, 'debt_ratio_weighted': -1.1180105387353356, 'revenue_growth_raw': 0.08639262686681093, 'revenue_growth_normalized': 0.8639262686681093, 'revenue_growth_weighted': 1.209496776135353, 'net_income_growth_raw': 0.12045177194456706, 'net_income_growth_normalized': 1.0037647662047255, 'net_income_growth_weighted': 1.5056471493070882, 'dividend_yield_raw': 263.0, 'dividend_yield_normalized': 10520.0, 'dividend_yield_weighted': 5260.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461706
WDC,100,"{'dividend_yield': 27.0, 'market_cap': 64171319296, 'pe_ratio': 26.403383, 'sector': 'Technology', 'beta': 1.886, 'roe': 0.15754994923872345, 'roa': 0.12191659668542953, 'debt_ratio': 0.5486951450800854, 'pb_ratio': 3.293695837960593, 'revenue_growth': 0.17853212211336472, 'net_income_growth': 0.15899035089128882}",1.0,"{'roe_raw': 0.15754994923872345, 'roe_normalized': 1.050332994924823, 'roe_weighted': 1.36543289340227, 'roa_raw': 0.12191659668542953, 'roa_normalized': 1.5239574585678692, 'roa_weighted': 1.828748950281443, 'debt_ratio_raw': 0.5486951450800854, 'debt_ratio_normalized': 0.6858689313501067, 'debt_ratio_weighted': -1.0288033970251602, 'revenue_growth_raw': 0.17853212211336472, 'revenue_growth_normalized': 1.785321221133647, 'revenue_growth_weighted': 2.4994497095871058, 'net_income_growth_raw': 0.15899035089128882, 'net_income_growth_normalized': 1.3249195907607403, 'net_income_growth_weighted': 1.9873793861411104, 'dividend_yield_raw': 27.0, 'dividend_yield_normalized': 1080.0, 'dividend_yield_weighted': 540.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461713
CRM,100,"{'dividend_yield': 63.0, 'market_cap': 249757204480, 'pe_ratio': 35.07353, 'sector': 'Technology', 'beta': 1.253, 'roe': 0.20401515736481413, 'roa': 0.161333599544842, 'debt_ratio': 0.9506672048363021, 'pb_ratio': 2.927484392494839, 'revenue_growth': 0.10898650311877471, 'net_income_growth': 0.1655431456351833}",1.0,"{'roe_raw': 0.20401515736481413, 'roe_normalized': 1.3601010490987608, 'roe_weighted': 1.768131363828389, 'roa_raw': 0.161333599544842, 'roa_normalized': 2.016669994310525, 'roa_weighted': 2.42000399317263, 'debt_ratio_raw': 0.9506672048363021, 'debt_ratio_normalized': 1.1883340060453775, 'debt_ratio_weighted': -1.7825010090680662, 'revenue_growth_raw': 0.10898650311877471, 'revenue_growth_normalized': 1.0898650311877471, 'revenue_growth_weighted': 1.5258110436628458, 'net_income_growth_raw': 0.1655431456351833, 'net_income_growth_normalized': 1.3795262136265276, 'net_income_growth_weighted': 2.0692893204397915, 'dividend_yield_raw': 63.0, 'dividend_yield_normalized': 2520.0, 'dividend_yield_weighted': 1260.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461719
AVGO,100,"{'dividend_yield': 57.99999999999999, 'market_cap': 1919027380224, 'pe_ratio': 85.551575, 'sector': 'Technology', 'beta': 1.204, 'roe': 0.1633875922413163, 'roa': 0.09127372267774461, 'debt_ratio': 0.6242440261292366, 'pb_ratio': 4.351792645153739, 'revenue_growth': 0.12923944232433998, 'net_income_growth': 0.3287080816734674}",1.0,"{'roe_raw': 0.1633875922413163, 'roe_normalized': 1.0892506149421086, 'roe_weighted': 1.4160257994247412, 'roa_raw': 0.09127372267774461, 'roa_normalized': 1.1409215334718077, 'roa_weighted': 1.369105840166169, 'debt_ratio_raw': 0.6242440261292366, 'debt_ratio_normalized': 0.7803050326615457, 'debt_ratio_weighted': -1.1704575489923186, 'revenue_growth_raw': 0.12923944232433998, 'revenue_growth_normalized': 1.2923944232433997, 'revenue_growth_weighted': 1.8093521925407594, 'net_income_growth_raw': 0.3287080816734674, 'net_income_growth_normalized': 2.7392340139455618, 'net_income_growth_weighted': 4.108851020918342, 'dividend_yield_raw': 57.99999999999999, 'dividend_yield_normalized': 2319.9999999999995, 'dividend_yield_weighted': 1159.9999999999998, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461727
IBM,100,"{'dividend_yield': 216.0, 'market_cap': 290459615232, 'pe_ratio': 37.036945, 'sector': 'Technology', 'beta': 0.689, 'roe': 0.15097088674323125, 'roa': 0.1684430325717986, 'debt_ratio': 0.5409275538774414, 'pb_ratio': 2.8981961571207258, 'revenue_growth': 0.24846141112279424, 'net_income_growth': 0.31338438557758574}",1.0,"{'roe_raw': 0.15097088674323125, 'roe_normalized': 1.0064725782882085, 'roe_weighted': 1.3084143517746711, 'roa_raw': 0.1684430325717986, 'roa_normalized': 2.1055379071474825, 'roa_weighted': 2.5266454885769787, 'debt_ratio_raw': 0.5409275538774414, 'debt_ratio_normalized': 0.6761594423468017, 'debt_ratio_weighted': -1.0142391635202026, 'revenue_growth_raw': 0.24846141112279424, 'revenue_growth_normalized': 2.484614111227942, 'revenue_growth_weighted': 3.478459755719119, 'net_income_growth_raw': 0.31338438557758574, 'net_income_growth_normalized': 2.6115365464798814, 'net_income_growth_weighted': 3.9173048197198224, 'dividend_yield_raw': 216.0, 'dividend_yield_normalized': 8640.0, 'dividend_yield_weighted': 4320.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:44:49.461734
