symbol,score,fundamentals,confidence,details,strategy,screened_at
XOM,100,"{'dividend_yield': 345.0, 'market_cap': 509628547072, 'pe_ratio': 17.349783, 'sector': 'Energy', 'beta': 0.379, 'roe': 0.1565369997608615, 'roa': 0.12385128019887837, 'debt_ratio': 0.5989296223113743, 'pb_ratio': 2.1298118900996483, 'revenue_growth': 0.03730491433544356, 'net_income_growth': 0.19345651331437208}",1.0,"{'roe_raw': 0.1565369997608615, 'roe_normalized': 1.0435799984057434, 'roe_weighted': 1.0435799984057434, 'roa_raw': 0.12385128019887837, 'roa_normalized': 1.5481410024859796, 'roa_weighted': 1.7029551027345777, 'debt_ratio_raw': 0.5989296223113743, 'debt_ratio_normalized': 0.7486620278892178, 'debt_ratio_weighted': -0.8983944334670613, 'revenue_growth_raw': 0.03730491433544356, 'revenue_growth_normalized': 0.3730491433544356, 'revenue_growth_weighted': 0.2984393146835485, 'net_income_growth_raw': 0.19345651331437208, 'net_income_growth_normalized': 1.6121376109531007, 'net_income_growth_weighted': 1.4509238498577908, 'dividend_yield_raw': 345.0, 'dividend_yield_normalized': 13800.0, 'dividend_yield_weighted': 19320.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310168
CVX,100,"{'dividend_yield': 454.0, 'market_cap': 303674032128, 'pe_ratio': 21.198313, 'sector': 'Energy', 'beta': 0.673, 'roe': 0.2016928982691914, 'roa': 0.0902810340979268, 'debt_ratio': 0.7705439247725974, 'pb_ratio': 2.3688441441150787, 'revenue_growth': 0.13957276541700492, 'net_income_growth': 0.20544207862655284}",1.0,"{'roe_raw': 0.2016928982691914, 'roe_normalized': 1.3446193217946094, 'roe_weighted': 1.3446193217946094, 'roa_raw': 0.0902810340979268, 'roa_normalized': 1.128512926224085, 'roa_weighted': 1.2413642188464935, 'debt_ratio_raw': 0.7705439247725974, 'debt_ratio_normalized': 0.9631799059657467, 'debt_ratio_weighted': -1.155815887158896, 'revenue_growth_raw': 0.13957276541700492, 'revenue_growth_normalized': 1.3957276541700492, 'revenue_growth_weighted': 1.1165821233360393, 'net_income_growth_raw': 0.20544207862655284, 'net_income_growth_normalized': 1.7120173218879404, 'net_income_growth_weighted': 1.5408155896991464, 'dividend_yield_raw': 454.0, 'dividend_yield_normalized': 18160.0, 'dividend_yield_weighted': 25424.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310184
JPM,100,"{'dividend_yield': 189.0, 'market_cap': 872716894208, 'pe_ratio': 15.719663, 'sector': 'Financial Services', 'beta': 1.075, 'roe': 0.1270552165082791, 'roa': 0.08862281677620831, 'debt_ratio': 0.9826073324616011, 'pb_ratio': 3.1934578231240023, 'revenue_growth': 0.10292755802672938, 'net_income_growth': 0.04416439336948653}",1.0,"{'roe_raw': 0.1270552165082791, 'roe_normalized': 0.8470347767218608, 'roe_weighted': 0.8470347767218608, 'roa_raw': 0.08862281677620831, 'roa_normalized': 1.107785209702604, 'roa_weighted': 1.2185637306728645, 'debt_ratio_raw': 0.9826073324616011, 'debt_ratio_normalized': 1.2282591655770014, 'debt_ratio_weighted': -1.4739109986924017, 'revenue_growth_raw': 0.10292755802672938, 'revenue_growth_normalized': 1.0292755802672937, 'revenue_growth_weighted': 0.823420464213835, 'net_income_growth_raw': 0.04416439336948653, 'net_income_growth_normalized': 0.36803661141238775, 'net_income_growth_weighted': 0.33123295027114896, 'dividend_yield_raw': 189.0, 'dividend_yield_normalized': 7560.0, 'dividend_yield_weighted': 10584.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310194
PFE,100,"{'dividend_yield': 667.0, 'market_cap': 146691260416, 'pe_ratio': 14.999999, 'sector': 'Healthcare', 'beta': 0.42, 'roe': 0.17888015693876522, 'roa': 0.1489558376046638, 'debt_ratio': 0.7343667652977477, 'pb_ratio': 3.8279787090623705, 'revenue_growth': 0.12361472328612717, 'net_income_growth': 0.10823722856845615}",1.0,"{'roe_raw': 0.17888015693876522, 'roe_normalized': 1.1925343795917682, 'roe_weighted': 1.1925343795917682, 'roa_raw': 0.1489558376046638, 'roa_normalized': 1.8619479700582975, 'roa_weighted': 2.0481427670641272, 'debt_ratio_raw': 0.7343667652977477, 'debt_ratio_normalized': 0.9179584566221846, 'debt_ratio_weighted': -1.1015501479466214, 'revenue_growth_raw': 0.12361472328612717, 'revenue_growth_normalized': 1.2361472328612717, 'revenue_growth_weighted': 0.9889177862890174, 'net_income_growth_raw': 0.10823722856845615, 'net_income_growth_normalized': 0.9019769047371347, 'net_income_growth_weighted': 0.8117792142634213, 'dividend_yield_raw': 667.0, 'dividend_yield_normalized': 26680.0, 'dividend_yield_weighted': 37352.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310202
JNJ,100,"{'dividend_yield': 248.0, 'market_cap': 505976061952, 'pe_ratio': 20.29082, 'sector': 'Healthcare', 'beta': 0.349, 'roe': 0.1353115945864774, 'roa': 0.12786833070883796, 'debt_ratio': 0.5309657700065434, 'pb_ratio': 2.95405614265336, 'revenue_growth': 0.13801435988695182, 'net_income_growth': 0.041064115619221686}",1.0,"{'roe_raw': 0.1353115945864774, 'roe_normalized': 0.9020772972431828, 'roe_weighted': 0.9020772972431828, 'roa_raw': 0.12786833070883796, 'roa_normalized': 1.5983541338604745, 'roa_weighted': 1.758189547246522, 'debt_ratio_raw': 0.5309657700065434, 'debt_ratio_normalized': 0.6637072125081792, 'debt_ratio_weighted': -0.796448655009815, 'revenue_growth_raw': 0.13801435988695182, 'revenue_growth_normalized': 1.380143598869518, 'revenue_growth_weighted': 1.1041148790956146, 'net_income_growth_raw': 0.041064115619221686, 'net_income_growth_normalized': 0.3422009634935141, 'net_income_growth_weighted': 0.3079808671441627, 'dividend_yield_raw': 248.0, 'dividend_yield_normalized': 9920.0, 'dividend_yield_weighted': 13888.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310211
GS,100,"{'dividend_yield': 176.0, 'market_cap': 275788005376, 'pe_ratio': 18.51687, 'sector': 'Financial Services', 'beta': 1.348, 'roe': 0.15584001410990755, 'roa': 0.17140899163062862, 'debt_ratio': 0.7059898586218194, 'pb_ratio': 2.3651903440308617, 'revenue_growth': 0.07316045264480558, 'net_income_growth': 0.06659758323970776}",1.0,"{'roe_raw': 0.15584001410990755, 'roe_normalized': 1.0389334273993838, 'roe_weighted': 1.0389334273993838, 'roa_raw': 0.17140899163062862, 'roa_normalized': 2.1426123953828577, 'roa_weighted': 2.356873634921144, 'debt_ratio_raw': 0.7059898586218194, 'debt_ratio_normalized': 0.8824873232772742, 'debt_ratio_weighted': -1.058984787932729, 'revenue_growth_raw': 0.07316045264480558, 'revenue_growth_normalized': 0.7316045264480558, 'revenue_growth_weighted': 0.5852836211584447, 'net_income_growth_raw': 0.06659758323970776, 'net_income_growth_normalized': 0.554979860330898, 'net_income_growth_weighted': 0.49948187429780816, 'dividend_yield_raw': 176.0, 'dividend_yield_normalized': 7040.0, 'dividend_yield_weighted': 9856.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310220
PEP,100,"{'dividend_yield': 382.0, 'market_cap': 204047269888, 'pe_ratio': 28.334599, 'sector': 'Consumer Defensive', 'beta': 0.421, 'roe': 0.19406937517208256, 'roa': 0.12699350843488155, 'debt_ratio': 0.3559903475774293, 'pb_ratio': 2.764532551219833, 'revenue_growth': 0.12330157432674568, 'net_income_growth': 0.03639665922004059}",1.0,"{'roe_raw': 0.19406937517208256, 'roe_normalized': 1.2937958344805505, 'roe_weighted': 1.2937958344805505, 'roa_raw': 0.12699350843488155, 'roa_normalized': 1.5874188554360193, 'roa_weighted': 1.7461607409796214, 'debt_ratio_raw': 0.3559903475774293, 'debt_ratio_normalized': 0.44498793447178664, 'debt_ratio_weighted': -0.533985521366144, 'revenue_growth_raw': 0.12330157432674568, 'revenue_growth_normalized': 1.2330157432674567, 'revenue_growth_weighted': 0.9864125946139654, 'net_income_growth_raw': 0.03639665922004059, 'net_income_growth_normalized': 0.30330549350033825, 'net_income_growth_weighted': 0.27297494415030443, 'dividend_yield_raw': 382.0, 'dividend_yield_normalized': 15280.0, 'dividend_yield_weighted': 21392.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310237
UNH,100,"{'dividend_yield': 263.0, 'market_cap': 305023025152, 'pe_ratio': 17.54716, 'sector': 'Healthcare', 'beta': 0.432, 'roe': 0.23664832485068205, 'roa': 0.17469087410556114, 'debt_ratio': 0.5962722873255124, 'pb_ratio': 3.84602603726109, 'revenue_growth': 0.08639262686681093, 'net_income_growth': 0.12045177194456706}",1.0,"{'roe_raw': 0.23664832485068205, 'roe_normalized': 1.577655499004547, 'roe_weighted': 1.577655499004547, 'roa_raw': 0.17469087410556114, 'roa_normalized': 2.183635926319514, 'roa_weighted': 2.401999518951466, 'debt_ratio_raw': 0.5962722873255124, 'debt_ratio_normalized': 0.7453403591568905, 'debt_ratio_weighted': -0.8944084309882685, 'revenue_growth_raw': 0.08639262686681093, 'revenue_growth_normalized': 0.8639262686681093, 'revenue_growth_weighted': 0.6911410149344874, 'net_income_growth_raw': 0.12045177194456706, 'net_income_growth_normalized': 1.0037647662047255, 'net_income_growth_weighted': 0.903388289584253, 'dividend_yield_raw': 263.0, 'dividend_yield_normalized': 10520.0, 'dividend_yield_weighted': 14727.999999999998, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310250
GOOGL,100,"{'dividend_yield': 27.0, 'market_cap': 3784190197760, 'pe_ratio': 30.87253, 'sector': 'Communication Services', 'beta': 1.07, 'roe': 0.16651785501253008, 'roa': 0.0882472609453121, 'debt_ratio': 0.4492789474491262, 'pb_ratio': 3.67721347140612, 'revenue_growth': 0.1066492512667825, 'net_income_growth': 0.026502789085592986}",1.0,"{'roe_raw': 0.16651785501253008, 'roe_normalized': 1.1101190334168674, 'roe_weighted': 1.1101190334168674, 'roa_raw': 0.0882472609453121, 'roa_normalized': 1.1030907618164012, 'roa_weighted': 1.2133998379980415, 'debt_ratio_raw': 0.4492789474491262, 'debt_ratio_normalized': 0.5615986843114077, 'debt_ratio_weighted': -0.6739184211736892, 'revenue_growth_raw': 0.1066492512667825, 'revenue_growth_normalized': 1.0664925126678249, 'revenue_growth_weighted': 0.8531940101342599, 'net_income_growth_raw': 0.026502789085592986, 'net_income_growth_normalized': 0.22085657571327488, 'net_income_growth_weighted': 0.1987709181419474, 'dividend_yield_raw': 27.0, 'dividend_yield_normalized': 1080.0, 'dividend_yield_weighted': 1512.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310261
WDC,100,"{'dividend_yield': 27.0, 'market_cap': 64171319296, 'pe_ratio': 26.403383, 'sector': 'Technology', 'beta': 1.886, 'roe': 0.15754994923872345, 'roa': 0.12191659668542953, 'debt_ratio': 0.5486951450800854, 'pb_ratio': 3.293695837960593, 'revenue_growth': 0.17853212211336472, 'net_income_growth': 0.15899035089128882}",1.0,"{'roe_raw': 0.15754994923872345, 'roe_normalized': 1.050332994924823, 'roe_weighted': 1.050332994924823, 'roa_raw': 0.12191659668542953, 'roa_normalized': 1.5239574585678692, 'roa_weighted': 1.6763532044246563, 'debt_ratio_raw': 0.5486951450800854, 'debt_ratio_normalized': 0.6858689313501067, 'debt_ratio_weighted': -0.823042717620128, 'revenue_growth_raw': 0.17853212211336472, 'revenue_growth_normalized': 1.785321221133647, 'revenue_growth_weighted': 1.4282569769069178, 'net_income_growth_raw': 0.15899035089128882, 'net_income_growth_normalized': 1.3249195907607403, 'net_income_growth_weighted': 1.1924276316846663, 'dividend_yield_raw': 27.0, 'dividend_yield_normalized': 1080.0, 'dividend_yield_weighted': 1512.0, 'total_score': 100, 'metrics_count': 6}",fundamental_analysis,2025-12-12T21:45:36.310270
