symbol,strategy,signal_type,action,price,confidence,generated_at,reason,indicators,position_size,signal_hash,trend_strength,super_trend,timestamp
META,a10,BB_UPPER_BREAKOUT,BUY,643.56,0.9,2025-12-13T19:52:25.187227,布林带上轨突破: 643.56 > 643.14,"{'upper_band': np.float64(643.1383186401938), 'middle_band': np.float64(642.574245), 'lower_band': np.float64(642.0101713598062), 'breakout_strength': np.float64(1.7475643776959304), 'breakout_type': 'upper'}",1,1640b38c,,,
META,a32,KC_UPPER_BREAKOUT,BUY,643.56,0.8511333738347209,2025-12-13T19:52:25.461588,Keltner上轨突破: 643.56 > 643.40,"{'upper_channel': np.float64(643.3959495272028), 'middle_channel': np.float64(642.4334638129171), 'lower_channel': np.float64(641.4709780986315), 'breakout_strength': np.float64(1.1704445794490699), 'breakout_type': 'upper'}",1,dae8158d,,,
META,a33,PIVOT_R1_BREAKOUT,BUY,643.56,0.7078502540703181,2025-12-13T19:52:25.464069,Pivot R1突破: 643.56 > 642.87,"{'pivot': np.float64(642.6833333333333), 'r1': np.float64(642.8666666666666), 's1': np.float64(642.5666666666666), 'breakout_strength': np.float64(0.001078502540703181), 'breakout_level': 'r1'}",1,3274e177,,,
META,a35,MLP_NN_BUY,BUY,643.56,0.1496529739923927,2025-12-13T19:52:25.528566,MLP神经网络预测上涨: 3.74%,"{'predicted_change': 0.03741324349809817, 'predicted_price': np.float64(667.6376669856361), 'model_trained': '2025-12-13T19:52:25.526149', 'network_layers': (100, 50, 25)}",1,d1b9a144,,,
INTC,a35,MLP_NN_BUY,BUY,37.77,0.10203738261222818,2025-12-13T19:52:31.887205,MLP神经网络预测上涨: 2.55%,"{'predicted_change': 0.025509345653057045, 'predicted_price': np.float64(38.73348798531597), 'model_trained': '2025-12-13T19:52:31.884501', 'network_layers': (100, 50, 25)}",15,fb4243e0,,,
COIN,a35,MLP_NN_BUY,BUY,267.05,0.2769857604870406,2025-12-13T19:52:42.893184,MLP神经网络预测上涨: 6.92%,"{'predicted_change': 0.06924644012176015, 'predicted_price': np.float64(285.542261834516), 'model_trained': '2025-12-13T19:52:42.890491', 'network_layers': (100, 50, 25)}",2,f65c61f1,,,
UBER,a35,MLP_NN_BUY,BUY,85.0108,0.3061979786281688,2025-12-13T19:52:48.530405,MLP神经网络预测上涨: 7.65%,"{'predicted_change': 0.0765494946570422, 'predicted_price': np.float64(91.51833378039089), 'model_trained': '2025-12-13T19:52:48.528135', 'network_layers': (100, 50, 25)}",8,bbbc588b,,,
DUOL,a8,RSI_OVERSOLD,BUY,195.99,0.8223109697344446,2025-12-13T19:53:04.131152,RSI超卖: 2.1 <= 30,"{'rsi': 2.076677269916658, 'rsi_threshold': 30, 'distance': 27.923322730083342}",3,0e257bed,,,
AUDC,a17,CCI_OVERSOLD,BUY,9.08,0.9,2025-12-13T19:53:08.226661,CCI超卖: -130.24 < -100,"{'cci': -130.23601774575977, 'cci_period': 20, 'overbought_level': 100, 'oversold_level': -100}",77,2425f7b3,,,
TMDX,a33,PIVOT_R1_BREAKOUT,BUY,127.0,0.8999999999999999,2025-12-13T19:53:15.796799,Pivot R1突破: 127.00 > 124.76,"{'pivot': np.float64(124.76), 'r1': np.float64(124.76), 's1': np.float64(124.76), 'breakout_strength': np.float64(0.017954472587367706), 'breakout_level': 'r1'}",5,9bb43eef,,,
